channel,value,unit
AD1,0.01,V
AD2,0.0,V
BTS3410_LSD1_EC,0,
BTS3410_LSD2_EC,0,
BTT3050_U1100_EC,0,
BTT3050_U1101_EC,0,
CAN0_INH,18.54,V
CAN1_EC,250,
CAN1_Status,1,
CAN2_EC,250,
CAN2_Status,1,
CAN3_EC,250,
CAN3_Status,1,
CAN4_EC,250,
CAN4_Status,1,
CPU0_Load,16,%
CPU1_Load,0,%
CPU2_Load,0,%
CPU3_Load,0,%
CPU4_Load,4,%
CPU5_Load,0,%
Cam0Crc,1,
Cam0FPS,30,fps
Cam0Linklock,1,
Cam0Videolock,1,
Cam10Crc,1,
Cam10FPS,30,fps
Cam10Linklock,1,
Cam10Videolock,1,
Cam1Crc,1,
Cam1FPS,30,fps
Cam1Linklock,1,
Cam1Videolock,1,
Cam2Crc,1,
Cam2FPS,30,fps
Cam2Linklock,1,
Cam2Videolock,1,
Cam3Crc,1,
Cam3FPS,30,fps
Cam3Linklock,1,
Cam3Videolock,1,
Cam4Crc,1,
Cam4FPS,30,fps
Cam4Linklock,1,
Cam4Videolock,1,
Cam5Crc,1,
Cam5FPS,30,fps
Cam5Linklock,1,
Cam5Videolock,1,
Cam6Crc,1,
Cam6FPS,50,fps
Cam6Linklock,1,
Cam6Videolock,1,
Cam7Crc,1,
Cam7FPS,30,fps
Cam7Linklock,1,
Cam7Videolock,1,
Cam8Crc,1,
Cam8FPS,30,fps
Cam8Linklock,1,
Cam8Videolock,1,
Cam9Crc,1,
Cam9FPS,30,fps
Cam9Linklock,1,
Cam9Videolock,1,
DC17V,16.93,V
DC17VHV,16.91,V
DC1V8S,1.78,V
DC3V3,3.29,V
DC3V3S,3.25,V
DC5V,4.96,V
DC5V0S,4.97,V
DC5VMV,4.95,V
DV12VGMSL,12.09,V
HSD1,0.0,A
HSD2,0.0,A
HSD3,0.0,A
HSD4,0.0,A
HSD5,0.0,A
HSD6,0.0,A
HSD7,0.0,A
I2cDes0,1,
I2cDes1,1,
I2cDes2,1,
I2cDes3,1,
I2cSer0,1,
I2cSer1,1,
I2cSer10,1,
I2cSer2,1,
I2cSer3,1,
I2cSer4,1,
I2cSer5,1,
I2cSer6,1,
I2cSer7,1,
I2cSer8,1,
I2cSer9,1,
IGN,0.01,V
LSD_Status_P322,0,
LSD_Status_P323,0,
LSD_Status_P324,0,
LSD_Status_P325,0,
MCU_GPI1_DI,0,
MCU_GPI2_DI,0,
RS232_Status,1,
RS485R,1,
RS485_Status,0,
Rc,8152,
Rs2320,1,
Rs2321,1,
Rs485_Rev_Ec,0,
Rs485_Trans_Ec,0,
SOC_TEMP,150.0,℃
SPI_Rev_Ec,144,
SPI_SetEB_Ec,0,
SPI_Status,3,
SPI_Trans_Ec,110,
SYS_VIN_SV,3.28,V
SpiR,0,
SsdRw,1,
TBOX_WP,0.01,V
TEMP5152,150.0,℃
TempCpu,48,
TempGpu,0,
TempSoc012,47,
TempSoc345,49,
TempSsd01,53,
TempSsd02,0,
TempTj,49,
VBATT_P,23.89,V
VBATT_SOC_P,23.83,V
VCC_12V,11.84,V
VCC_3V3,3.26,V
VDD_1V25,1.25,V
error_count,0,
g_controllerState,1,
g_thorState,1,
json_msg_missing,0,
异常相机数,0,
